percent chance LLLHH, stock
200.0,AER
200.0,AFC
200.0,AGM-A
200.0,AGX
166.66666666666669,AGCO
150.0,AEO
133.33333333333331,ABG
120.0,AHH
100.0,AEM
100.0,ADX
100.0,ACV
85.71428571428571,ABR
71.42857142857143,AB
66.66666666666666,ABEV
66.66666666666666,ACA
60.0,ACCO
60.0,AGD
60.0,ABM
58.333333333333336,AGO
58.333333333333336,AEB
57.14285714285714,AEP
57.14285714285714,AEG
57.14285714285714,ACB
55.55555555555556,AA
50.0,AEFC
50.0,AGR
50.0,AAP
50.0,ADC
50.0,ADS
50.0,ACP
50.0,ACM
42.857142857142854,AGM
42.857142857142854,ADNT
42.857142857142854,ABT
40.0,ABC
37.5,ACH
37.5,AES
37.5,ACN
37.5,ABBV
33.33333333333333,ACC
33.33333333333333,ACEL
33.33333333333333,AGS
33.33333333333333,AFL
33.33333333333333,AFB
30.0,ACRE
30.0,ADT
27.27272727272727,AEL
25.0,A
25.0,ADM
23.076923076923077,AG
22.22222222222222,AHT
21.428571428571427,AC
16.666666666666664,AGRO
16.666666666666664,AAT
14.285714285714285,AEE
14.285714285714285,AGI
12.5,AFT
12.5,AFG
10.0,ABB
10.0,AHC
0.0,AFI
