Ticker,Open,High,Low,LTP,Volume
A,153.35,155.71,152.5,152.815,813722
AAPL,159.985,164.58,159.92,162.768,52075174
BNTX,335.597,347.0,327.13,336.36,2487838
FB,335.0,335.785,327.93,329.54,7297734
GOOG,2909.0,2932.57,2874.22,2885.24,354441
H,79.15,79.52,77.51,78.01,174572
KRYS,87.25,92.78,83.55,84.12,647342
LI,34.42,36.26,33.93,34.5,8239494
NRXP,8.0,7.978,6.45,6.73,4459199
PTPI,2.99,3.67,2.68,2.68,18684428
TSLA,1144.37,1168.0,1129.1,1137.0,10498573
TWTR,45.51,45.837,43.675,43.865,13717052
V,195.27,197.66,192.82,193.705,4481902
